date,temperature_2m
2026-02-17 00:00:00+00:00,-3.4
2026-02-17 01:00:00+00:00,-3.6
2026-02-17 02:00:00+00:00,-3.65
2026-02-17 03:00:00+00:00,-3.6
2026-02-17 04:00:00+00:00,-3.65
2026-02-17 05:00:00+00:00,-3.6
2026-02-17 06:00:00+00:00,-4.0
2026-02-17 07:00:00+00:00,-4.1
2026-02-17 08:00:00+00:00,-3.55
2026-02-17 09:00:00+00:00,-2.95
2026-02-17 10:00:00+00:00,-2.4
2026-02-17 11:00:00+00:00,-1.25
2026-02-17 12:00:00+00:00,-1.95
2026-02-17 13:00:00+00:00,-1.5
2026-02-17 14:00:00+00:00,-1.05
2026-02-17 15:00:00+00:00,-0.85
2026-02-17 16:00:00+00:00,-0.9
2026-02-17 17:00:00+00:00,-1.0
2026-02-17 18:00:00+00:00,-1.4
2026-02-17 19:00:00+00:00,-1.4
2026-02-17 20:00:00+00:00,-1.4
2026-02-17 21:00:00+00:00,-1.4
2026-02-17 22:00:00+00:00,-1.8
2026-02-17 23:00:00+00:00,-1.9
2026-02-18 00:00:00+00:00,-1.15
2026-02-18 01:00:00+00:00,-1.3
2026-02-18 02:00:00+00:00,-1.5
2026-02-18 03:00:00+00:00,-1.9
2026-02-18 04:00:00+00:00,-2.3
2026-02-18 05:00:00+00:00,-2.55
2026-02-18 06:00:00+00:00,-3.1
2026-02-18 07:00:00+00:00,-3.4
2026-02-18 08:00:00+00:00,-3.4
2026-02-18 09:00:00+00:00,-3.05
2026-02-18 10:00:00+00:00,-2.65
2026-02-18 11:00:00+00:00,-2.1
2026-02-18 12:00:00+00:00,-1.45
2026-02-18 13:00:00+00:00,-0.35
2026-02-18 14:00:00+00:00,-0.65
2026-02-18 15:00:00+00:00,-1.05
2026-02-18 16:00:00+00:00,-1.4
2026-02-18 17:00:00+00:00,-1.95
2026-02-18 18:00:00+00:00,-2.25
2026-02-18 19:00:00+00:00,-3.1
2026-02-18 20:00:00+00:00,-3.9
2026-02-18 21:00:00+00:00,-4.9
2026-02-18 22:00:00+00:00,-5.8
2026-02-18 23:00:00+00:00,-6.25
2026-02-19 00:00:00+00:00,-7.45
2026-02-19 01:00:00+00:00,-7.65
2026-02-19 02:00:00+00:00,-7.75
2026-02-19 03:00:00+00:00,-7.65
2026-02-19 04:00:00+00:00,-7.05
2026-02-19 05:00:00+00:00,-6.8
2026-02-19 06:00:00+00:00,-7.55
2026-02-19 07:00:00+00:00,-7.35
2026-02-19 08:00:00+00:00,-6.2
2026-02-19 09:00:00+00:00,-4.7
2026-02-19 10:00:00+00:00,-2.9
2026-02-19 11:00:00+00:00,-1.45
2026-02-19 12:00:00+00:00,-1.1
2026-02-19 13:00:00+00:00,-0.15
2026-02-19 14:00:00+00:00,0.15
2026-02-19 15:00:00+00:00,0.05
2026-02-19 16:00:00+00:00,-0.75
2026-02-19 17:00:00+00:00,-1.95
2026-02-19 18:00:00+00:00,-3.0
2026-02-19 19:00:00+00:00,-3.25
2026-02-19 20:00:00+00:00,-3.35
2026-02-19 21:00:00+00:00,-3.7
2026-02-19 22:00:00+00:00,-4.25
2026-02-19 23:00:00+00:00,-4.65
2026-02-20 00:00:00+00:00,-5.8
2026-02-20 01:00:00+00:00,-6.4
2026-02-20 02:00:00+00:00,-6.85
2026-02-20 03:00:00+00:00,-6.9
2026-02-20 04:00:00+00:00,-7.2
2026-02-20 05:00:00+00:00,-7.5
2026-02-20 06:00:00+00:00,-7.95
2026-02-20 07:00:00+00:00,-7.65
2026-02-20 08:00:00+00:00,-6.2
2026-02-20 09:00:00+00:00,-4.4
2026-02-20 10:00:00+00:00,-2.7
2026-02-20 11:00:00+00:00,-1.45
2026-02-20 12:00:00+00:00,-0.5
2026-02-20 13:00:00+00:00,0.55
2026-02-20 14:00:00+00:00,0.55
2026-02-20 15:00:00+00:00,-0.15
2026-02-20 16:00:00+00:00,-0.95
2026-02-20 17:00:00+00:00,-1.6
2026-02-20 18:00:00+00:00,-1.65
2026-02-20 19:00:00+00:00,-1.9
2026-02-20 20:00:00+00:00,-2.1
2026-02-20 21:00:00+00:00,-2.15
2026-02-20 22:00:00+00:00,-1.8
2026-02-20 23:00:00+00:00,-0.8
2026-02-21 00:00:00+00:00,-0.15
2026-02-21 01:00:00+00:00,0.4
2026-02-21 02:00:00+00:00,1.05
2026-02-21 03:00:00+00:00,1.5
2026-02-21 04:00:00+00:00,1.85
2026-02-21 05:00:00+00:00,2.0
2026-02-21 06:00:00+00:00,2.2
2026-02-21 07:00:00+00:00,2.8
2026-02-21 08:00:00+00:00,3.45
2026-02-21 09:00:00+00:00,4.7
2026-02-21 10:00:00+00:00,6.15
2026-02-21 11:00:00+00:00,6.15
2026-02-21 12:00:00+00:00,7.75
2026-02-21 13:00:00+00:00,7.65
2026-02-21 14:00:00+00:00,8.4
2026-02-21 15:00:00+00:00,8.2
2026-02-21 16:00:00+00:00,7.2
2026-02-21 17:00:00+00:00,6.05
2026-02-21 18:00:00+00:00,4.9
2026-02-21 19:00:00+00:00,4.8
2026-02-21 20:00:00+00:00,4.5
2026-02-21 21:00:00+00:00,4.4
2026-02-21 22:00:00+00:00,4.45
2026-02-21 23:00:00+00:00,3.8
2026-02-22 00:00:00+00:00,4.9
2026-02-22 01:00:00+00:00,4.9
2026-02-22 02:00:00+00:00,4.8
2026-02-22 03:00:00+00:00,4.8
2026-02-22 04:00:00+00:00,5.3
2026-02-22 05:00:00+00:00,5.2
2026-02-22 06:00:00+00:00,5.75
2026-02-22 07:00:00+00:00,5.6
2026-02-22 08:00:00+00:00,6.0
2026-02-22 09:00:00+00:00,6.65
2026-02-22 10:00:00+00:00,7.85
2026-02-22 11:00:00+00:00,8.9
2026-02-22 12:00:00+00:00,10.0
2026-02-22 13:00:00+00:00,10.2
2026-02-22 14:00:00+00:00,10.15
2026-02-22 15:00:00+00:00,9.5
2026-02-22 16:00:00+00:00,9.55
2026-02-22 17:00:00+00:00,9.35
2026-02-22 18:00:00+00:00,9.6
2026-02-22 19:00:00+00:00,9.65
2026-02-22 20:00:00+00:00,9.3
2026-02-22 21:00:00+00:00,8.65
2026-02-22 22:00:00+00:00,8.3
2026-02-22 23:00:00+00:00,8.05
2026-02-23 00:00:00+00:00,7.75
2026-02-23 01:00:00+00:00,6.5
2026-02-23 02:00:00+00:00,5.8
2026-02-23 03:00:00+00:00,5.3
2026-02-23 04:00:00+00:00,5.1
2026-02-23 05:00:00+00:00,4.85
2026-02-23 06:00:00+00:00,5.45
2026-02-23 07:00:00+00:00,5.65
2026-02-23 08:00:00+00:00,6.7
2026-02-23 09:00:00+00:00,8.2
2026-02-23 10:00:00+00:00,9.3
2026-02-23 11:00:00+00:00,10.35
2026-02-23 12:00:00+00:00,10.6
2026-02-23 13:00:00+00:00,9.95
2026-02-23 14:00:00+00:00,9.15
2026-02-23 15:00:00+00:00,7.8
2026-02-23 16:00:00+00:00,7.05
2026-02-23 17:00:00+00:00,6.5
2026-02-23 18:00:00+00:00,6.15
2026-02-23 19:00:00+00:00,5.7
2026-02-23 20:00:00+00:00,4.5
2026-02-23 21:00:00+00:00,3.8
2026-02-23 22:00:00+00:00,4.05
2026-02-23 23:00:00+00:00,4.45
2026-02-24 00:00:00+00:00,5.35
2026-02-24 01:00:00+00:00,4.65
2026-02-24 02:00:00+00:00,3.85
2026-02-24 03:00:00+00:00,3.65
2026-02-24 04:00:00+00:00,3.25
2026-02-24 05:00:00+00:00,3.55
2026-02-24 06:00:00+00:00,4.5
2026-02-24 07:00:00+00:00,4.95
2026-02-24 08:00:00+00:00,5.8
2026-02-24 09:00:00+00:00,6.8
2026-02-24 10:00:00+00:00,7.65
2026-02-24 11:00:00+00:00,8.2
2026-02-24 12:00:00+00:00,7.35
2026-02-24 13:00:00+00:00,7.55
2026-02-24 14:00:00+00:00,7.5
2026-02-24 15:00:00+00:00,7.45
2026-02-24 16:00:00+00:00,6.9
2026-02-24 17:00:00+00:00,6.05
2026-02-24 18:00:00+00:00,6.4
2026-02-24 19:00:00+00:00,6.1
2026-02-24 20:00:00+00:00,6.05
2026-02-24 21:00:00+00:00,5.5
2026-02-24 22:00:00+00:00,5.1
2026-02-24 23:00:00+00:00,4.15
2026-02-25 00:00:00+00:00,3.75
2026-02-25 01:00:00+00:00,2.7
2026-02-25 02:00:00+00:00,1.8
2026-02-25 03:00:00+00:00,1.0
2026-02-25 04:00:00+00:00,0.65
2026-02-25 05:00:00+00:00,0.1
2026-02-25 06:00:00+00:00,0.85
2026-02-25 07:00:00+00:00,1.35
2026-02-25 08:00:00+00:00,2.5
2026-02-25 09:00:00+00:00,4.45
2026-02-25 10:00:00+00:00,6.25
2026-02-25 11:00:00+00:00,7.85
2026-02-25 12:00:00+00:00,8.55
2026-02-25 13:00:00+00:00,9.05
2026-02-25 14:00:00+00:00,9.2
2026-02-25 15:00:00+00:00,8.9
2026-02-25 16:00:00+00:00,7.6
2026-02-25 17:00:00+00:00,5.75
2026-02-25 18:00:00+00:00,5.65
2026-02-25 19:00:00+00:00,5.25
2026-02-25 20:00:00+00:00,4.6
2026-02-25 21:00:00+00:00,4.0
2026-02-25 22:00:00+00:00,3.5
2026-02-25 23:00:00+00:00,3.1
2026-02-26 00:00:00+00:00,3.15
2026-02-26 01:00:00+00:00,2.75
2026-02-26 02:00:00+00:00,2.4
2026-02-26 03:00:00+00:00,2.15
2026-02-26 04:00:00+00:00,2.0
2026-02-26 05:00:00+00:00,1.95
2026-02-26 06:00:00+00:00,2.05
2026-02-26 07:00:00+00:00,2.7
2026-02-26 08:00:00+00:00,4.35
2026-02-26 09:00:00+00:00,6.35
2026-02-26 10:00:00+00:00,8.3
2026-02-26 11:00:00+00:00,10.2
2026-02-26 12:00:00+00:00,11.95
2026-02-26 13:00:00+00:00,13.15
2026-02-26 14:00:00+00:00,13.6
2026-02-26 15:00:00+00:00,13.3
2026-02-26 16:00:00+00:00,12.15
2026-02-26 17:00:00+00:00,10.55
2026-02-26 18:00:00+00:00,10.75
2026-02-26 19:00:00+00:00,10.35
2026-02-26 20:00:00+00:00,9.75
2026-02-26 21:00:00+00:00,9.05
2026-02-26 22:00:00+00:00,8.35
2026-02-26 23:00:00+00:00,7.8
2026-02-27 00:00:00+00:00,7.25
2026-02-27 01:00:00+00:00,6.65
2026-02-27 02:00:00+00:00,6.2
2026-02-27 03:00:00+00:00,6.05
2026-02-27 04:00:00+00:00,5.9
2026-02-27 05:00:00+00:00,5.9
2026-02-27 06:00:00+00:00,5.8
2026-02-27 07:00:00+00:00,6.55
2026-02-27 08:00:00+00:00,8.4
2026-02-27 09:00:00+00:00,10.55
2026-02-27 10:00:00+00:00,12.55
2026-02-27 11:00:00+00:00,14.6
2026-02-27 12:00:00+00:00,16.15
2026-02-27 13:00:00+00:00,17.1
2026-02-27 14:00:00+00:00,17.5
2026-02-27 15:00:00+00:00,17.0
2026-02-27 16:00:00+00:00,15.6
2026-02-27 17:00:00+00:00,13.95
2026-02-27 18:00:00+00:00,13.9
2026-02-27 19:00:00+00:00,13.25
2026-02-27 20:00:00+00:00,12.45
2026-02-27 21:00:00+00:00,11.9
2026-02-27 22:00:00+00:00,11.3
2026-02-27 23:00:00+00:00,10.55
2026-02-28 00:00:00+00:00,10.3
2026-02-28 01:00:00+00:00,10.25
2026-02-28 02:00:00+00:00,9.55
2026-02-28 03:00:00+00:00,9.05
2026-02-28 04:00:00+00:00,8.95
2026-02-28 05:00:00+00:00,8.35
2026-02-28 06:00:00+00:00,8.0
2026-02-28 07:00:00+00:00,8.45
2026-02-28 08:00:00+00:00,9.95
2026-02-28 09:00:00+00:00,11.7
2026-02-28 10:00:00+00:00,13.55
2026-02-28 11:00:00+00:00,15.3
2026-02-28 12:00:00+00:00,16.65
2026-02-28 13:00:00+00:00,17.5
2026-02-28 14:00:00+00:00,17.7
2026-02-28 15:00:00+00:00,17.1
2026-02-28 16:00:00+00:00,15.55
2026-02-28 17:00:00+00:00,13.95
2026-02-28 18:00:00+00:00,12.9
2026-02-28 19:00:00+00:00,12.7
2026-02-28 20:00:00+00:00,11.9
2026-02-28 21:00:00+00:00,11.2
2026-02-28 22:00:00+00:00,10.9
2026-02-28 23:00:00+00:00,10.3
2026-03-01 00:00:00+00:00,10.05
2026-03-01 01:00:00+00:00,9.5
2026-03-01 02:00:00+00:00,8.55
2026-03-01 03:00:00+00:00,7.7
2026-03-01 04:00:00+00:00,6.85
2026-03-01 05:00:00+00:00,5.85
2026-03-01 06:00:00+00:00,5.1
2026-03-01 07:00:00+00:00,5.3
2026-03-01 08:00:00+00:00,6.05
2026-03-01 09:00:00+00:00,7.0
2026-03-01 10:00:00+00:00,8.2
2026-03-01 11:00:00+00:00,9.55
2026-03-01 12:00:00+00:00,9.85
2026-03-01 13:00:00+00:00,10.05
2026-03-01 14:00:00+00:00,10.1
2026-03-01 15:00:00+00:00,10.35
2026-03-01 16:00:00+00:00,9.2
2026-03-01 17:00:00+00:00,7.15
2026-03-01 18:00:00+00:00,7.05
2026-03-01 19:00:00+00:00,6.7
2026-03-01 20:00:00+00:00,5.9
2026-03-01 21:00:00+00:00,5.4
2026-03-01 22:00:00+00:00,5.0
2026-03-01 23:00:00+00:00,4.5
2026-03-02 00:00:00+00:00,4.05
2026-03-02 01:00:00+00:00,3.6
2026-03-02 02:00:00+00:00,3.3
2026-03-02 03:00:00+00:00,2.75
2026-03-02 04:00:00+00:00,2.45
2026-03-02 05:00:00+00:00,2.3
2026-03-02 06:00:00+00:00,1.95
2026-03-02 07:00:00+00:00,2.7
2026-03-02 08:00:00+00:00,4.35
2026-03-02 09:00:00+00:00,6.3
2026-03-02 10:00:00+00:00,8.25
2026-03-02 11:00:00+00:00,10.35
2026-03-02 12:00:00+00:00,12.8
2026-03-02 13:00:00+00:00,13.75
2026-03-02 14:00:00+00:00,13.8
2026-03-02 15:00:00+00:00,13.3
2026-03-02 16:00:00+00:00,11.45
2026-03-02 17:00:00+00:00,9.65
2026-03-02 18:00:00+00:00,8.6
2026-03-02 19:00:00+00:00,7.9
2026-03-02 20:00:00+00:00,6.7
2026-03-02 21:00:00+00:00,6.35
2026-03-02 22:00:00+00:00,5.8
2026-03-02 23:00:00+00:00,5.35
2026-03-03 00:00:00+00:00,4.65
2026-03-03 01:00:00+00:00,3.65
2026-03-03 02:00:00+00:00,2.95
2026-03-03 03:00:00+00:00,2.4
2026-03-03 04:00:00+00:00,1.9
2026-03-03 05:00:00+00:00,1.55
2026-03-03 06:00:00+00:00,1.35
2026-03-03 07:00:00+00:00,1.95
2026-03-03 08:00:00+00:00,3.95
2026-03-03 09:00:00+00:00,6.05
2026-03-03 10:00:00+00:00,8.35
2026-03-03 11:00:00+00:00,10.45
2026-03-03 12:00:00+00:00,13.1
2026-03-03 13:00:00+00:00,14.3
2026-03-03 14:00:00+00:00,14.8
2026-03-03 15:00:00+00:00,14.6
2026-03-03 16:00:00+00:00,12.7
2026-03-03 17:00:00+00:00,10.2
2026-03-03 18:00:00+00:00,9.4
2026-03-03 19:00:00+00:00,8.75
2026-03-03 20:00:00+00:00,7.7
2026-03-03 21:00:00+00:00,6.8
2026-03-03 22:00:00+00:00,5.95
2026-03-03 23:00:00+00:00,5.65
